cache	rss	rss_huge	shmem	mapped_file	dirty	writeback	pgpgin	pgpgout	pgfault	pgmajfault	inactive_anon	active_anon	inactive_file	active_file	unevictable	hierarchical_memory_limit	total_cache	total_rss	total_rss_huge	total_shmem	total_mapped_file	total_dirty	total_writeback	total_pgpgin	total_pgpgout	total_pgfault	total_pgmajfault	total_inactive_anon	total_active_anon	total_inactive_file	total_active_file	total_unevictable	
0	782336	0	0	0	0	0	5874	5637	7920	0	0	1212416	0	0	0	26214400	0	782336	0	0	0	0	0	5874	5637	7920	0	0	1212416	0	0	0	
0	1069056	0	0	0	0	0	16104	15925	21285	0	0	1179648	0	0	0	26214400	0	1069056	0	0	0	0	0	16104	15925	21285	0	0	1179648	0	0	0	
0	1187840	0	0	0	0	0	26334	26085	34683	0	0	1220608	0	0	0	26214400	0	1187840	0	0	0	0	0	26334	26085	34683	0	0	1220608	0	0	0	
0	1155072	0	0	0	0	0	36927	36622	48378	0	0	1220608	0	0	0	26214400	0	1155072	0	0	0	0	0	36927	36622	48378	0	0	1220608	0	0	0	
0	1150976	0	0	0	0	0	48048	47791	62964	0	0	1175552	0	0	0	26214400	0	1150976	0	0	0	0	0	48048	47791	62964	0	0	1175552	0	0	0	
0	1118208	0	0	0	0	0	59136	58928	77517	0	0	1216512	0	0	0	26214400	0	1118208	0	0	0	0	0	59136	58928	77517	0	0	1216512	0	0	0	
0	1126400	0	0	0	0	0	69663	69419	91212	0	0	1179648	0	0	0	26214400	0	1126400	0	0	0	0	0	69663	69419	91212	0	0	1179648	0	0	0	
0	720896	0	0	0	0	0	80223	80053	105105	0	0	856064	20480	0	0	26214400	0	720896	0	0	0	0	0	80223	80053	105105	0	0	856064	20480	0	0	
0	888832	0	0	0	0	0	91014	90809	119097	0	0	1212416	0	0	0	26214400	0	888832	0	0	0	0	0	91014	90809	119097	0	0	1212416	0	0	0	
0	1851392	0	0	0	0	0	101574	101139	132891	0	0	1904640	0	0	0	26214400	0	1851392	0	0	0	0	0	101574	101139	132891	0	0	1904640	0	0	0	
0	1024000	0	0	0	0	0	112068	111841	146652	0	0	1224704	0	0	0	26214400	0	1024000	0	0	0	0	0	112068	111841	146652	0	0	1224704	0	0	0	
0	1200128	0	0	0	0	0	122859	122694	160809	0	0	1183744	0	0	0	26214400	0	1200128	0	0	0	0	0	122859	122694	160809	0	0	1183744	0	0	0	
0	1056768	0	0	0	0	0	133749	133530	174966	0	0	1216512	0	0	0	26214400	0	1056768	0	0	0	0	0	133749	133530	174966	0	0	1216512	0	0	0	
0	950272	0	0	0	0	0	144276	144027	188694	0	0	1183744	0	0	0	26214400	0	950272	0	0	0	0	0	144276	144027	188694	0	0	1183744	0	0	0	
0	1245184	0	0	0	0	0	155364	155161	203247	0	0	1224704	0	0	0	26214400	0	1245184	0	0	0	0	0	155364	155161	203247	0	0	1224704	0	0	0	
0	1155072	0	0	0	0	0	166815	166598	218196	0	0	1220608	0	0	0	26214400	0	1155072	0	0	0	0	0	166815	166598	218196	0	0	1220608	0	0	0	
0	1974272	0	0	0	0	0	177309	176903	231924	0	0	1904640	0	0	0	26214400	0	1974272	0	0	0	0	0	177309	176903	231924	0	0	1904640	0	0	0	
0	1159168	0	0	0	0	0	187836	187635	245685	0	0	1216512	0	0	0	26214400	0	1159168	0	0	0	0	0	187836	187635	245685	0	0	1216512	0	0	0	
0	974848	0	0	0	0	0	198726	198474	259809	0	0	1220608	0	0	0	26214400	0	974848	0	0	0	0	0	198726	198474	259809	0	0	1220608	0	0	0	
0	1060864	0	0	0	0	0	208593	208375	272811	0	0	1179648	0	0	0	26214400	0	1060864	0	0	0	0	0	208593	208375	272811	0	0	1179648	0	0	0	
0	1032192	0	0	0	0	0	219087	218947	286572	0	0	1183744	0	0	0	26214400	0	1032192	0	0	0	0	0	219087	218947	286572	0	0	1183744	0	0	0	
0	1056768	0	0	0	0	0	229944	229734	300663	0	0	1179648	0	0	0	26214400	0	1056768	0	0	0	0	0	229944	229734	300663	0	0	1179648	0	0	0	
0	991232	0	0	0	0	0	239877	239591	313665	0	0	1179648	0	0	0	26214400	0	991232	0	0	0	0	0	239877	239591	313665	0	0	1179648	0	0	0	
0	1196032	0	0	0	0	0	250734	250537	327789	0	0	1183744	0	0	0	26214400	0	1196032	0	0	0	0	0	250734	250537	327789	0	0	1183744	0	0	0	
0	1122304	0	0	0	0	0	261888	261644	342342	0	0	1220608	0	0	0	26214400	0	1122304	0	0	0	0	0	261888	261644	342342	0	0	1220608	0	0	0	
