cache	rss	rss_huge	shmem	mapped_file	dirty	writeback	pgpgin	pgpgout	pgfault	pgmajfault	inactive_anon	active_anon	inactive_file	active_file	unevictable	hierarchical_memory_limit	total_cache	total_rss	total_rss_huge	total_shmem	total_mapped_file	total_dirty	total_writeback	total_pgpgin	total_pgpgout	total_pgfault	total_pgmajfault	total_inactive_anon	total_active_anon	total_inactive_file	total_active_file	total_unevictable	
0	1994752	0	0	0	0	0	1782	1363	2475	0	0	2039808	0	0	0	12582912	0	1994752	0	0	0	0	0	1782	1363	2475	0	0	2039808	0	0	0	
0	2637824	0	0	0	0	0	4851	4190	6039	0	0	2727936	0	0	0	12582912	0	2637824	0	0	0	0	0	4851	4190	6039	0	0	2727936	0	0	0	
0	1970176	0	0	0	0	0	7887	7450	9636	0	0	2027520	0	0	0	12582912	0	1970176	0	0	0	0	0	7887	7450	9636	0	0	2027520	0	0	0	
0	811008	0	0	0	0	0	11451	11290	13992	0	0	1048576	20480	0	0	12582912	0	811008	0	0	0	0	0	11451	11290	13992	0	0	1048576	20480	0	0	
0	2695168	0	0	0	0	0	15906	15305	19173	0	0	2764800	0	0	0	12582912	0	2695168	0	0	0	0	0	15906	15305	19173	0	0	2764800	0	0	0	
0	2519040	0	0	0	0	0	19437	18835	23298	0	0	2772992	20480	0	0	12582912	0	2519040	0	0	0	0	0	19437	18835	23298	0	0	2772992	20480	0	0	
0	2715648	0	0	0	0	0	21978	21341	26301	0	0	2772992	0	0	0	12582912	0	2715648	0	0	0	0	0	21978	21341	26301	0	0	2772992	0	0	0	
0	2682880	0	0	0	0	0	24519	23892	29238	0	0	2764800	20480	0	0	12582912	0	2682880	0	0	0	0	0	24519	23892	29238	0	0	2764800	20480	0	0	
0	1974272	0	0	0	0	0	27027	26601	32274	0	0	2035712	0	0	0	12582912	0	1974272	0	0	0	0	0	27027	26601	32274	0	0	2035712	0	0	0	
0	2715648	0	0	0	0	0	30030	29421	35838	0	0	2768896	0	0	0	12582912	0	2715648	0	0	0	0	0	30030	29421	35838	0	0	2768896	0	0	0	
0	1888256	0	0	0	0	0	33033	32608	39402	0	0	2015232	20480	0	0	12582912	0	1888256	0	0	0	0	0	33033	32608	39402	0	0	2015232	20480	0	0	
0	1867776	0	0	0	0	0	37059	36678	44187	0	0	2031616	0	0	0	12582912	0	1867776	0	0	0	0	0	37059	36678	44187	0	0	2031616	0	0	0	
0	839680	0	0	0	0	0	40689	40476	48510	0	0	1040384	20480	0	0	12582912	0	839680	0	0	0	0	0	40689	40476	48510	0	0	1040384	20480	0	0	
