cache	rss	rss_huge	shmem	mapped_file	dirty	writeback	pgpgin	pgpgout	pgfault	pgmajfault	inactive_anon	active_anon	inactive_file	active_file	unevictable	hierarchical_memory_limit	total_cache	total_rss	total_rss_huge	total_shmem	total_mapped_file	total_dirty	total_writeback	total_pgpgin	total_pgpgout	total_pgfault	total_pgmajfault	total_inactive_anon	total_active_anon	total_inactive_file	total_active_file	total_unevictable	
0	1581056	0	0	0	0	135168	4752	4414	6039	0	782336	929792	0	0	0	10485760	0	1581056	0	0	0	0	135168	4752	4414	6039	0	782336	929792	0	0	0	
0	1261568	0	0	0	0	0	11484	11222	15576	495	610304	581632	0	0	0	10485760	0	1261568	0	0	0	0	0	11484	11222	15576	495	610304	581632	0	0	0	
0	774144	0	0	0	0	0	16863	16606	24321	1485	380928	753664	20480	0	0	10485760	0	774144	0	0	0	0	0	16863	16606	24321	1485	380928	753664	20480	0	0	
0	471040	0	0	0	0	0	21846	21668	32175	2244	356352	471040	20480	0	0	10485760	0	471040	0	0	0	0	0	21846	21668	32175	2244	356352	471040	20480	0	0	
0	1150976	0	0	0	0	135168	26763	26399	39732	3069	614400	745472	0	0	0	10485760	0	1150976	0	0	0	0	135168	26763	26399	39732	3069	614400	745472	0	0	0	
0	270336	0	0	0	0	135168	31317	31285	47157	3894	40960	385024	20480	0	0	10485760	0	270336	0	0	0	0	135168	31317	31285	47157	3894	40960	385024	20480	0	0	
0	962560	0	0	0	0	135168	36828	36622	55374	4554	253952	491520	0	0	0	10485760	0	962560	0	0	0	0	135168	36828	36622	55374	4554	253952	491520	0	0	0	
0	237568	0	0	0	0	135168	41514	41433	62931	5379	520192	212992	0	0	0	10485760	0	237568	0	0	0	0	135168	41514	41433	62931	5379	520192	212992	0	0	0	
0	712704	0	0	0	0	135168	46002	45833	70290	6303	380928	729088	0	0	0	10485760	0	712704	0	0	0	0	135168	46002	45833	70290	6303	380928	729088	0	0	0	
0	159744	0	0	0	0	135168	50787	50657	78672	7260	139264	454656	20480	0	0	10485760	0	159744	0	0	0	0	135168	50787	50657	78672	7260	139264	454656	20480	0	0	
0	1134592	0	0	0	0	540672	58014	57775	90123	8382	417792	335872	0	0	0	10485760	0	1134592	0	0	0	0	540672	58014	57775	90123	8382	417792	335872	0	0	0	
0	929792	0	0	0	0	135168	63888	63610	99396	9438	294912	421888	0	0	0	10485760	0	929792	0	0	0	0	135168	63888	63610	99396	9438	294912	421888	0	0	0	
0	737280	0	0	0	0	270336	68376	68128	106854	10164	610304	401408	20480	0	0	10485760	0	737280	0	0	0	0	270336	68376	68128	106854	10164	610304	401408	20480	0	0	
0	32768	0	0	0	0	270336	73128	73103	114180	10725	94208	90112	20480	0	0	10485760	0	32768	0	0	0	0	270336	73128	73103	114180	10725	94208	90112	20480	0	0	
0	1114112	0	0	0	0	270336	78474	78226	122265	11418	782336	212992	0	0	0	10485760	0	1114112	0	0	0	0	270336	78474	78226	122265	11418	782336	212992	0	0	0	
0	569344	0	0	0	0	270336	82665	82536	128766	11979	471040	139264	0	0	0	10485760	0	569344	0	0	0	0	270336	82665	82536	128766	11979	471040	139264	0	0	0	
0	655360	0	0	0	0	270336	86988	86815	135333	12639	499712	274432	20480	0	0	10485760	0	655360	0	0	0	0	270336	86988	86815	135333	12639	499712	274432	20480	0	0	
0	630784	0	0	0	0	270336	93885	93784	146982	14190	323584	352256	0	0	0	10485760	0	630784	0	0	0	0	270336	93885	93784	146982	14190	323584	352256	0	0	0	
0	159744	0	0	0	0	405504	99099	99011	155265	15114	90112	270336	0	0	0	10485760	0	159744	0	0	0	0	405504	99099	99011	155265	15114	90112	270336	0	0	0	
0	770048	0	0	0	0	405504	104148	103990	163383	16038	401408	290816	20480	0	0	10485760	0	770048	0	0	0	0	405504	104148	103990	163383	16038	401408	290816	20480	0	0	
