cache	rss	rss_huge	shmem	mapped_file	dirty	writeback	pgpgin	pgpgout	pgfault	pgmajfault	inactive_anon	active_anon	inactive_file	active_file	unevictable	hierarchical_memory_limit	total_cache	total_rss	total_rss_huge	total_shmem	total_mapped_file	total_dirty	total_writeback	total_pgpgin	total_pgpgout	total_pgfault	total_pgmajfault	total_inactive_anon	total_active_anon	total_inactive_file	total_active_file	total_unevictable	
0	217088	0	0	0	0	0	6237	6157	8679	231	106496	180224	20480	0	0	10485760	0	217088	0	0	0	0	0	6237	6157	8679	231	106496	180224	20480	0	0	
0	274432	0	0	0	0	135168	14487	14370	21417	1221	344064	294912	20480	0	0	10485760	0	274432	0	0	0	0	135168	14487	14370	21417	1221	344064	294912	20480	0	0	
0	454656	0	0	0	0	270336	23760	23606	35640	2541	290816	282624	0	0	0	10485760	0	454656	0	0	0	0	270336	23760	23606	35640	2541	290816	282624	0	0	0	
0	1257472	0	0	0	0	540672	34386	34105	52734	4455	475136	745472	0	0	0	10485760	0	1257472	0	0	0	0	540672	34386	34105	52734	4455	475136	745472	0	0	0	
0	1470464	0	0	0	0	540672	44880	44514	70125	6567	839680	765952	0	0	0	10485760	0	1470464	0	0	0	0	540672	44880	44514	70125	6567	839680	765952	0	0	0	
270336	0	0	0	0	0	540672	58443	58402	91938	8943	53248	225280	0	0	0	10485760	270336	0	0	0	0	0	540672	58443	58402	91938	8943	53248	225280	0	0	0	
135168	462848	0	0	0	0	540672	67617	67469	106854	10725	290816	360448	20480	0	0	10485760	135168	462848	0	0	0	0	540672	67617	67469	106854	10725	290816	360448	20480	0	0	
135168	475136	0	0	0	0	540672	77286	77191	122760	12573	266240	192512	0	0	0	10485760	135168	475136	0	0	0	0	540672	77286	77191	122760	12573	266240	192512	0	0	0	
135168	614400	0	0	0	0	540672	85866	85653	137148	14388	425984	331776	20480	0	0	10485760	135168	614400	0	0	0	0	540672	85866	85653	137148	14388	425984	331776	20480	0	0	
135168	856064	0	0	0	0	540672	93126	92883	149358	15840	516096	614400	0	0	0	10485760	135168	856064	0	0	0	0	540672	93126	92883	149358	15840	516096	614400	0	0	0	
0	430080	0	0	0	0	540672	103026	102813	165330	17754	487424	278528	20480	0	0	10485760	0	430080	0	0	0	0	540672	103026	102813	165330	17754	487424	278528	20480	0	0	
0	1519616	0	0	0	0	540672	113421	113187	181302	18942	798720	458752	0	0	0	10485760	0	1519616	0	0	0	0	540672	113421	113187	181302	18942	798720	458752	0	0	0	
0	962560	0	0	0	0	540672	124146	123965	198462	20856	512000	344064	0	0	0	10485760	0	962560	0	0	0	0	540672	124146	123965	198462	20856	512000	344064	0	0	0	
0	544768	0	0	0	0	675840	131835	131733	211101	22242	389120	270336	20480	0	0	10485760	0	544768	0	0	0	0	675840	131835	131733	211101	22242	389120	270336	20480	0	0	
0	24576	0	0	0	0	675840	141603	141542	227040	24255	139264	163840	20480	0	0	10485760	0	24576	0	0	0	0	675840	141603	141542	227040	24255	139264	163840	20480	0	0	
0	28672	0	0	0	0	811008	150711	150625	242550	26136	90112	172032	20480	0	0	10485760	0	28672	0	0	0	0	811008	150711	150625	242550	26136	90112	172032	20480	0	0	
0	405504	0	0	0	0	675840	158301	158196	254694	27522	249856	376832	20480	0	0	10485760	0	405504	0	0	0	0	675840	158301	158196	254694	27522	249856	376832	20480	0	0	
0	606208	0	0	0	0	811008	168663	168471	271623	29535	618496	294912	20480	0	0	10485760	0	606208	0	0	0	0	811008	168663	168471	271623	29535	618496	294912	20480	0	0	
135168	1191936	0	0	0	0	946176	179652	179355	288816	31218	618496	626688	0	0	0	10485760	135168	1191936	0	0	0	0	946176	179652	179355	288816	31218	618496	626688	0	0	0	
135168	561152	0	0	0	0	811008	188364	188234	302577	32670	450560	200704	0	0	0	10485760	135168	561152	0	0	0	0	811008	188364	188234	302577	32670	450560	200704	0	0	0	
135168	413696	0	0	0	0	946176	199617	199370	320694	34980	589824	245760	20480	0	0	10485760	135168	413696	0	0	0	0	946176	199617	199370	320694	34980	589824	245760	20480	0	0	
135168	315392	0	0	0	0	946176	210309	210223	337920	36894	143360	122880	20480	0	0	10485760	135168	315392	0	0	0	0	946176	210309	210223	337920	36894	143360	122880	20480	0	0	
135168	634880	0	0	0	0	946176	219384	219220	352539	38445	327680	184320	0	0	0	10485760	135168	634880	0	0	0	0	946176	219384	219220	352539	38445	327680	184320	0	0	0	
0	20480	0	0	0	0	946176	230670	230548	371316	40854	204800	278528	0	0	0	10485760	0	20480	0	0	0	0	946176	230670	230548	371316	40854	204800	278528	0	0	0	
0	401408	0	0	0	0	946176	239745	239606	386661	42669	167936	282624	0	0	0	10485760	0	401408	0	0	0	0	946176	239745	239606	386661	42669	167936	282624	0	0	0	
0	1253376	0	0	0	0	1351680	247566	247247	399399	44220	659456	692224	0	0	0	10485760	0	1253376	0	0	0	0	1351680	247566	247247	399399	44220	659456	692224	0	0	0	
0	675840	0	0	0	0	811008	257136	256985	414909	46101	417792	204800	0	0	0	10485760	0	675840	0	0	0	0	811008	257136	256985	414909	46101	417792	204800	0	0	0	
0	323584	0	0	0	0	1081344	265485	265303	428274	47520	327680	458752	20480	0	0	10485760	0	323584	0	0	0	0	1081344	265485	265303	428274	47520	327680	458752	20480	0	0	
0	307200	0	0	0	0	1081344	278025	277906	448899	49929	172032	204800	20480	0	0	10485760	0	307200	0	0	0	0	1081344	278025	277906	448899	49929	172032	204800	20480	0	0	
0	610304	0	0	0	0	1081344	291225	291141	470580	52536	372736	319488	0	0	0	10485760	0	610304	0	0	0	0	1081344	291225	291141	470580	52536	372736	319488	0	0	0	
0	225280	0	0	0	0	1081344	301158	301049	486453	54450	454656	163840	0	0	0	10485760	0	225280	0	0	0	0	1081344	301158	301049	486453	54450	454656	163840	0	0	0	
