cache	rss	rss_huge	shmem	mapped_file	dirty	writeback	pgpgin	pgpgout	pgfault	pgmajfault	inactive_anon	active_anon	inactive_file	active_file	unevictable	hierarchical_memory_limit	total_cache	total_rss	total_rss_huge	total_shmem	total_mapped_file	total_dirty	total_writeback	total_pgpgin	total_pgpgout	total_pgfault	total_pgmajfault	total_inactive_anon	total_active_anon	total_inactive_file	total_active_file	total_unevictable	
0	1359872	0	0	0	0	0	8349	7983	11517	297	40960	1433600	0	0	0	10485760	0	1359872	0	0	0	0	0	8349	7983	11517	297	40960	1433600	0	0	0	
0	851968	0	0	0	0	135168	20988	20873	30954	2046	626688	167936	0	0	0	10485760	0	851968	0	0	0	0	135168	20988	20873	30954	2046	626688	167936	0	0	0	
0	741376	0	0	0	0	135168	34386	34194	51579	3993	450560	364544	0	0	0	10485760	0	741376	0	0	0	0	135168	34386	34194	51579	3993	450560	364544	0	0	0	
0	794624	0	0	0	0	675840	51315	51111	79860	7623	466944	491520	0	0	0	10485760	0	794624	0	0	0	0	675840	51315	51111	79860	7623	466944	491520	0	0	0	
135168	487424	0	0	0	0	540672	66561	66473	104511	10461	565248	180224	0	0	0	10485760	135168	487424	0	0	0	0	540672	66561	66473	104511	10461	565248	180224	0	0	0	
135168	659456	0	0	0	0	540672	79530	79362	126885	13035	241664	565248	20480	0	0	10485760	135168	659456	0	0	0	0	540672	79530	79362	126885	13035	241664	565248	20480	0	0	
135168	671744	0	0	0	0	811008	91476	91344	146223	15246	606208	385024	0	0	0	10485760	135168	671744	0	0	0	0	811008	91476	91344	146223	15246	606208	385024	0	0	0	
135168	1503232	0	0	0	0	1081344	105237	104876	169620	18183	638976	700416	0	0	0	10485760	135168	1503232	0	0	0	0	1081344	105237	104876	169620	18183	638976	700416	0	0	0	
135168	401408	0	0	0	0	540672	119064	119041	192918	21153	61440	327680	0	0	0	10485760	135168	401408	0	0	0	0	540672	119064	119041	192918	21153	61440	327680	0	0	0	
135168	544768	0	0	0	0	540672	132891	132734	216183	23925	233472	598016	0	0	0	10485760	135168	544768	0	0	0	0	540672	132891	132734	216183	23925	233472	598016	0	0	0	
135168	167936	0	0	0	0	540672	147147	147091	239778	26895	36864	294912	0	0	0	10485760	135168	167936	0	0	0	0	540672	147147	147091	239778	26895	36864	294912	0	0	0	
0	503808	0	0	0	0	811008	162558	162408	265188	30129	135168	258048	0	0	0	10485760	0	503808	0	0	0	0	811008	162558	162408	265188	30129	135168	258048	0	0	0	
0	126976	0	0	0	0	811008	178629	178510	291720	33396	159744	413696	20480	0	0	10485760	0	126976	0	0	0	0	811008	178629	178510	291720	33396	159744	413696	20480	0	0	
0	196608	0	0	0	0	811008	192786	192740	314589	35937	32768	221184	0	0	0	10485760	0	196608	0	0	0	0	811008	192786	192740	314589	35937	32768	221184	0	0	0	
0	331776	0	0	0	0	811008	205821	205680	336303	38610	77824	208896	20480	0	0	10485760	0	331776	0	0	0	0	811008	205821	205680	336303	38610	77824	208896	20480	0	0	
0	655360	0	0	0	0	811008	219582	219451	359139	41382	327680	344064	0	0	0	10485760	0	655360	0	0	0	0	811008	219582	219451	359139	41382	327680	344064	0	0	0	
0	282624	0	0	0	0	811008	233541	233450	382140	44121	90112	307200	0	0	0	10485760	0	282624	0	0	0	0	811008	233541	233450	382140	44121	90112	307200	0	0	0	
0	1404928	0	0	0	0	811008	246345	245992	403062	46761	524288	872448	0	0	0	10485760	0	1404928	0	0	0	0	811008	246345	245992	403062	46761	524288	872448	0	0	0	
0	1159168	0	0	0	0	946176	260766	260516	426096	49368	544768	421888	0	0	0	10485760	0	1159168	0	0	0	0	946176	260766	260516	426096	49368	544768	421888	0	0	0	
0	679936	0	0	0	0	946176	277860	277712	453783	52668	479232	147456	0	0	0	10485760	0	679936	0	0	0	0	946176	277860	277712	453783	52668	479232	147456	0	0	0	
0	757760	0	0	0	0	946176	291786	291680	476751	55407	577536	221184	0	0	0	10485760	0	757760	0	0	0	0	946176	291786	291680	476751	55407	577536	221184	0	0	0	
0	794624	0	0	0	0	946176	305019	304848	498432	58113	225280	593920	0	0	0	10485760	0	794624	0	0	0	0	946176	305019	304848	498432	58113	225280	593920	0	0	0	
0	393216	0	0	0	0	946176	318384	318189	520311	60654	229376	507904	20480	0	0	10485760	0	393216	0	0	0	0	946176	318384	318189	520311	60654	229376	507904	20480	0	0	
135168	745472	0	0	0	0	1081344	330726	330569	540012	62865	409600	491520	0	0	0	10485760	135168	745472	0	0	0	0	1081344	330726	330569	540012	62865	409600	491520	0	0	0	
135168	471040	0	0	0	0	1081344	344685	344577	563178	65571	278528	200704	0	0	0	10485760	135168	471040	0	0	0	0	1081344	344685	344577	563178	65571	278528	200704	0	0	0	
135168	577536	0	0	0	0	1081344	358512	358380	586212	68343	221184	266240	0	0	0	10485760	135168	577536	0	0	0	0	1081344	358512	358380	586212	68343	221184	266240	0	0	0	
0	491520	0	0	0	0	1216512	374847	374707	613470	71874	294912	417792	0	0	0	10485760	0	491520	0	0	0	0	1216512	374847	374707	613470	71874	294912	417792	0	0	0	
131072	1331200	0	0	0	0	1216512	392700	392363	643797	75801	282624	1081344	0	0	0	10485760	131072	1331200	0	0	0	0	1216512	392700	392363	643797	75801	282624	1081344	0	0	0	
0	290816	0	0	0	0	1216512	407121	407062	667557	78771	303104	237568	0	0	0	10485760	0	290816	0	0	0	0	1216512	407121	407062	667557	78771	303104	237568	0	0	0	
0	1032192	0	0	0	0	1486848	420816	420501	690162	81543	217088	1024000	0	0	0	10485760	0	1032192	0	0	0	0	1486848	420816	420501	690162	81543	217088	1024000	0	0	0	
266240	356352	0	0	0	0	1486848	434247	434137	713064	84282	385024	266240	0	0	0	10485760	266240	356352	0	0	0	0	1486848	434247	434137	713064	84282	385024	266240	0	0	0	
131072	114688	0	0	0	0	1622016	447315	447223	734745	86823	204800	204800	20480	0	0	10485760	131072	114688	0	0	0	0	1622016	447315	447223	734745	86823	204800	204800	20480	0	0	
0	172032	0	0	0	0	1486848	461076	461007	756822	89364	143360	262144	20480	0	0	10485760	0	172032	0	0	0	0	1486848	461076	461007	756822	89364	143360	262144	20480	0	0	
0	892928	0	0	0	0	1486848	473583	473371	777249	91806	438272	417792	0	0	0	10485760	0	892928	0	0	0	0	1486848	473583	473371	777249	91806	438272	417792	0	0	0	
0	688128	0	0	0	0	1622016	488367	488246	801603	94842	405504	188416	0	0	0	10485760	0	688128	0	0	0	0	1622016	488367	488246	801603	94842	405504	188416	0	0	0	
0	569344	0	0	0	0	1757184	504768	504652	828696	98175	110592	540672	20480	0	0	10485760	0	569344	0	0	0	0	1757184	504768	504652	828696	98175	110592	540672	20480	0	0	
0	323584	0	0	0	0	1622016	518298	518164	851400	101046	28672	376832	0	0	0	10485760	0	323584	0	0	0	0	1622016	518298	518164	851400	101046	28672	376832	0	0	0	
0	782336	0	0	0	0	1622016	532422	532240	874302	103587	724992	114688	0	0	0	10485760	0	782336	0	0	0	0	1622016	532422	532240	874302	103587	724992	114688	0	0	0	
0	745472	0	0	0	0	1622016	546117	545886	896643	106194	335872	569344	0	0	0	10485760	0	745472	0	0	0	0	1622016	546117	545886	896643	106194	335872	569344	0	0	0	
0	946176	0	0	0	0	1757184	559944	559692	920601	109197	221184	786432	0	0	0	10485760	0	946176	0	0	0	0	1757184	559944	559692	920601	109197	221184	786432	0	0	0	
