cache	rss	rss_huge	shmem	mapped_file	dirty	writeback	pgpgin	pgpgout	pgfault	pgmajfault	inactive_anon	active_anon	inactive_file	active_file	unevictable	hierarchical_memory_limit	total_cache	total_rss	total_rss_huge	total_shmem	total_mapped_file	total_dirty	total_writeback	total_pgpgin	total_pgpgout	total_pgfault	total_pgmajfault	total_inactive_anon	total_active_anon	total_inactive_file	total_active_file	total_unevictable	
0	1916928	0	0	0	0	0	9339	8941	11418	0	0	2039808	0	0	0	12582912	0	1916928	0	0	0	0	0	9339	8941	11418	0	0	2039808	0	0	0	
0	1478656	0	0	0	0	0	27027	26713	32406	0	376832	1290240	0	0	0	12582912	0	1478656	0	0	0	0	0	27027	26713	32406	0	376832	1290240	0	0	0	
0	1232896	0	0	0	0	0	43197	42991	52074	0	81920	1232896	0	0	0	12582912	0	1232896	0	0	0	0	0	43197	42991	52074	0	81920	1232896	0	0	0	
0	1232896	0	0	0	0	0	58344	58114	70158	0	81920	1286144	0	0	0	12582912	0	1232896	0	0	0	0	0	58344	58114	70158	0	81920	1286144	0	0	0	
0	1282048	0	0	0	0	0	75504	75214	90684	0	81920	1294336	20480	0	0	12582912	0	1282048	0	0	0	0	0	75504	75214	90684	0	81920	1294336	20480	0	0	
0	1220608	0	0	0	0	0	94182	93973	113355	66	61440	1310720	0	0	0	12582912	0	1220608	0	0	0	0	0	94182	93973	113355	66	61440	1310720	0	0	0	
0	1925120	0	0	0	0	0	109890	109503	132759	165	32768	2027520	0	0	0	12582912	0	1925120	0	0	0	0	0	109890	109503	132759	165	32768	2027520	0	0	0	
0	1310720	0	0	0	0	0	124113	123804	149688	165	32768	1347584	20480	0	0	12582912	0	1310720	0	0	0	0	0	124113	123804	149688	165	32768	1347584	20480	0	0	
0	1912832	0	0	0	0	0	140778	140318	169851	198	24576	2080768	0	0	0	12582912	0	1912832	0	0	0	0	0	140778	140318	169851	198	24576	2080768	0	0	0	
0	2121728	0	0	0	0	0	158169	157610	191202	495	53248	2011136	0	0	0	12582912	0	2121728	0	0	0	0	0	158169	157610	191202	495	53248	2011136	0	0	0	
0	1794048	0	0	0	0	0	173877	173455	210309	561	0	2068480	0	0	0	12582912	0	1794048	0	0	0	0	0	173877	173455	210309	561	0	2068480	0	0	0	
0	1183744	0	0	0	0	0	187836	187557	226974	561	0	1339392	0	0	0	12582912	0	1183744	0	0	0	0	0	187836	187557	226974	561	0	1339392	0	0	0	
0	1224704	0	0	0	0	0	204600	204399	247071	561	0	1380352	0	0	0	12582912	0	1224704	0	0	0	0	0	204600	204399	247071	561	0	1380352	0	0	0	
0	1294336	0	0	0	0	0	222354	222016	268290	594	16384	1355776	20480	0	0	12582912	0	1294336	0	0	0	0	0	222354	222016	268290	594	16384	1355776	20480	0	0	
0	1536000	0	0	0	0	0	239052	238629	288387	627	888832	897024	0	0	0	12582912	0	1536000	0	0	0	0	0	239052	238629	288387	627	888832	897024	0	0	0	
0	1282048	0	0	0	0	0	253638	253405	306141	660	53248	1314816	0	0	0	12582912	0	1282048	0	0	0	0	0	253638	253405	306141	660	53248	1314816	0	0	0	
0	1957888	0	0	0	0	0	271260	270866	327228	660	57344	2035712	0	0	0	12582912	0	1957888	0	0	0	0	0	271260	270866	327228	660	57344	2035712	0	0	0	
0	294912	0	0	0	0	0	288552	288517	347952	660	57344	450560	20480	0	0	12582912	0	294912	0	0	0	0	0	288552	288517	347952	660	57344	450560	20480	0	0	
0	1961984	0	0	0	0	0	304590	304146	367092	660	16384	2097152	0	0	0	12582912	0	1961984	0	0	0	0	0	304590	304146	367092	660	16384	2097152	0	0	0	
0	1290240	0	0	0	0	0	319242	318917	384648	660	16384	1363968	0	0	0	12582912	0	1290240	0	0	0	0	0	319242	318917	384648	660	16384	1363968	0	0	0	
0	1310720	0	0	0	0	0	336402	336113	405570	759	45056	1392640	0	0	0	12582912	0	1310720	0	0	0	0	0	336402	336113	405570	759	45056	1392640	0	0	0	
0	1314816	0	0	0	0	0	353694	353432	426888	924	45056	1368064	0	0	0	12582912	0	1314816	0	0	0	0	0	353694	353432	426888	924	45056	1368064	0	0	0	
