cache	rss	rss_huge	shmem	mapped_file	dirty	writeback	pgpgin	pgpgout	pgfault	pgmajfault	inactive_anon	active_anon	inactive_file	active_file	unevictable	hierarchical_memory_limit	total_cache	total_rss	total_rss_huge	total_shmem	total_mapped_file	total_dirty	total_writeback	total_pgpgin	total_pgpgout	total_pgfault	total_pgmajfault	total_inactive_anon	total_active_anon	total_inactive_file	total_active_file	total_unevictable	
0	1859584	0	0	0	0	0	7326	6896	9009	0	0	2043904	0	0	0	12582912	0	1859584	0	0	0	0	0	7326	6896	9009	0	0	2043904	0	0	0	
0	1449984	0	0	0	0	0	23991	23682	28677	0	425984	1298432	0	0	0	12582912	0	1449984	0	0	0	0	0	23991	23682	28677	0	425984	1298432	0	0	0	
0	1404928	0	0	0	0	0	36564	36224	43725	0	421888	1302528	0	0	0	12582912	0	1404928	0	0	0	0	0	36564	36224	43725	0	421888	1302528	0	0	0	
0	1363968	0	0	0	0	0	51711	51471	61875	0	32768	1282048	0	0	0	12582912	0	1363968	0	0	0	0	0	51711	51471	61875	0	32768	1282048	0	0	0	
0	1142784	0	0	0	0	0	66330	66096	79365	0	32768	1314816	0	0	0	12582912	0	1142784	0	0	0	0	0	66330	66096	79365	0	32768	1314816	0	0	0	
0	1232896	0	0	0	0	0	78408	78172	93852	0	32768	1339392	0	0	0	12582912	0	1232896	0	0	0	0	0	78408	78172	93852	0	32768	1339392	0	0	0	
0	1191936	0	0	0	0	0	93489	93267	111903	0	32768	1351680	20480	0	0	12582912	0	1191936	0	0	0	0	0	93489	93267	111903	0	32768	1351680	20480	0	0	
0	1413120	0	0	0	0	0	107316	107025	128832	66	69632	1298432	0	0	0	12582912	0	1413120	0	0	0	0	0	107316	107025	128832	66	69632	1298432	0	0	0	
0	1200128	0	0	0	0	0	120384	120172	144507	66	65536	1306624	0	0	0	12582912	0	1200128	0	0	0	0	0	120384	120172	144507	66	65536	1306624	0	0	0	
0	1507328	0	0	0	0	0	134970	134592	161898	66	65536	1708032	0	0	0	12582912	0	1507328	0	0	0	0	0	134970	134592	161898	66	65536	1708032	0	0	0	
0	1163264	0	0	0	0	0	149127	148908	178728	66	65536	1306624	0	0	0	12582912	0	1163264	0	0	0	0	0	149127	148908	178728	66	65536	1306624	0	0	0	
0	1310720	0	0	0	0	0	163746	163519	196317	66	65536	1310720	0	0	0	12582912	0	1310720	0	0	0	0	0	163746	163519	196317	66	65536	1310720	0	0	0	
0	1138688	0	0	0	0	0	178860	178605	214335	66	65536	1314816	0	0	0	12582912	0	1138688	0	0	0	0	0	178860	178605	214335	66	65536	1314816	0	0	0	
0	1015808	0	0	0	0	0	192522	192214	230571	66	65536	1314816	0	0	0	12582912	0	1015808	0	0	0	0	0	192522	192214	230571	66	65536	1314816	0	0	0	
0	1294336	0	0	0	0	0	206118	205828	246906	66	65536	1310720	0	0	0	12582912	0	1294336	0	0	0	0	0	206118	205828	246906	66	65536	1310720	0	0	0	
0	1302528	0	0	0	0	0	220209	219861	263868	99	4096	1368064	0	0	0	12582912	0	1302528	0	0	0	0	0	220209	219861	263868	99	4096	1368064	0	0	0	
0	1142784	0	0	0	0	0	234861	234605	281457	99	32768	1335296	0	0	0	12582912	0	1142784	0	0	0	0	0	234861	234605	281457	99	32768	1335296	0	0	0	
0	1306624	0	0	0	0	0	247434	247207	296505	99	32768	1339392	0	0	0	12582912	0	1306624	0	0	0	0	0	247434	247207	296505	99	32768	1339392	0	0	0	
0	1101824	0	0	0	0	135168	263340	263080	316140	264	8192	1363968	0	0	0	12582912	0	1101824	0	0	0	0	135168	263340	263080	316140	264	8192	1363968	0	0	0	
0	1056768	0	0	0	0	135168	281061	280786	337557	297	0	1380352	20480	0	0	12582912	0	1056768	0	0	0	0	135168	281061	280786	337557	297	0	1380352	20480	0	0	
0	1363968	0	0	0	0	135168	297726	297431	357522	330	24576	1347584	0	0	0	12582912	0	1363968	0	0	0	0	135168	297726	297431	357522	330	24576	1347584	0	0	0	
0	1245184	0	0	0	0	135168	315480	315176	378741	396	49152	1318912	0	0	0	12582912	0	1245184	0	0	0	0	135168	315480	315176	378741	396	49152	1318912	0	0	0	
0	1249280	0	0	0	0	135168	333102	332788	399828	396	45056	1331200	0	0	0	12582912	0	1249280	0	0	0	0	135168	333102	332788	399828	396	45056	1331200	0	0	0	
0	1216512	0	0	0	0	135168	349701	349409	419760	396	45056	1335296	20480	0	0	12582912	0	1216512	0	0	0	0	135168	349701	349409	419760	396	45056	1335296	20480	0	0	
0	1159168	0	0	0	0	135168	364320	364110	437283	462	12288	1327104	0	0	0	12582912	0	1159168	0	0	0	0	135168	364320	364110	437283	462	12288	1327104	0	0	0	
0	1077248	0	0	0	0	135168	377883	377685	453552	462	12288	1351680	0	0	0	12582912	0	1077248	0	0	0	0	135168	377883	377685	453552	462	12288	1351680	0	0	0	
0	1986560	0	0	0	0	135168	392073	391622	470481	495	36864	2080768	0	0	0	12582912	0	1986560	0	0	0	0	135168	392073	391622	470481	495	36864	2080768	0	0	0	
0	1286144	0	0	0	0	135168	406890	406646	489159	627	40960	1384448	0	0	0	12582912	0	1286144	0	0	0	0	135168	406890	406646	489159	627	40960	1384448	0	0	0	
0	1306624	0	0	0	0	135168	421575	421262	506682	627	36864	1392640	0	0	0	12582912	0	1306624	0	0	0	0	135168	421575	421262	506682	627	36864	1392640	0	0	0	
0	1871872	0	0	0	0	135168	433620	433206	521103	627	36864	2113536	0	0	0	12582912	0	1871872	0	0	0	0	135168	433620	433206	521103	627	36864	2113536	0	0	0	
0	1961984	0	0	0	0	135168	447282	446747	537504	627	32768	2019328	0	0	0	12582912	0	1961984	0	0	0	0	135168	447282	446747	537504	627	32768	2019328	0	0	0	
0	1200128	0	0	0	0	135168	459855	459622	552585	627	20480	1343488	0	0	0	12582912	0	1200128	0	0	0	0	135168	459855	459622	552585	627	20480	1343488	0	0	0	
0	1765376	0	0	0	0	135168	474474	474059	569976	627	20480	2039808	0	0	0	12582912	0	1765376	0	0	0	0	135168	474474	474059	569976	627	20480	2039808	0	0	0	
0	1269760	0	0	0	0	135168	489621	489425	588225	627	8192	1310720	0	0	0	12582912	0	1269760	0	0	0	0	135168	489621	489425	588225	627	8192	1310720	0	0	0	
0	1851392	0	0	0	0	135168	504438	503984	606408	792	16384	2084864	0	0	0	12582912	0	1851392	0	0	0	0	135168	504438	503984	606408	792	16384	2084864	0	0	0	
0	1257472	0	0	0	0	135168	518034	517798	622677	792	16384	1355776	0	0	0	12582912	0	1257472	0	0	0	0	135168	518034	517798	622677	792	16384	1355776	0	0	0	
0	1359872	0	0	0	0	135168	534732	534497	642642	825	20480	1343488	0	0	0	12582912	0	1359872	0	0	0	0	135168	534732	534497	642642	825	20480	1343488	0	0	0	
