cache	rss	rss_huge	shmem	mapped_file	dirty	writeback	pgpgin	pgpgout	pgfault	pgmajfault	inactive_anon	active_anon	inactive_file	active_file	unevictable	hierarchical_memory_limit	total_cache	total_rss	total_rss_huge	total_shmem	total_mapped_file	total_dirty	total_writeback	total_pgpgin	total_pgpgout	total_pgfault	total_pgmajfault	total_inactive_anon	total_active_anon	total_inactive_file	total_active_file	total_unevictable	
0	1159168	0	0	0	0	0	5907	5693	7821	0	786432	565248	0	0	0	10485760	0	1159168	0	0	0	0	0	5907	5693	7821	0	786432	565248	0	0	0	
0	421888	0	0	0	0	135168	16764	16684	24486	1386	90112	393216	20480	0	0	10485760	0	421888	0	0	0	0	135168	16764	16684	24486	1386	90112	393216	20480	0	0	
0	798720	0	0	0	0	135168	20328	20120	30789	2145	57344	684032	24576	0	0	10485760	0	798720	0	0	0	0	135168	20328	20120	30789	2145	57344	684032	24576	0	0	
0	1048576	0	0	0	0	135168	26301	26030	40029	2937	561152	720896	0	0	0	10485760	0	1048576	0	0	0	0	135168	26301	26030	40029	2937	561152	720896	0	0	0	
0	331776	0	0	0	0	135168	36498	36396	56793	4785	602112	143360	0	0	0	10485760	0	331776	0	0	0	0	135168	36498	36396	56793	4785	602112	143360	0	0	0	
135168	442368	0	0	0	0	135168	47223	47065	73953	6666	200704	331776	20480	0	0	10485760	135168	442368	0	0	0	0	135168	47223	47065	73953	6666	200704	331776	20480	0	0	
135168	933888	0	0	0	0	270336	57189	56961	89727	8415	610304	491520	0	0	0	10485760	135168	933888	0	0	0	0	270336	57189	56961	89727	8415	610304	491520	0	0	0	
0	856064	0	0	0	0	270336	65769	65504	103686	10131	495616	450560	20480	0	0	10485760	0	856064	0	0	0	0	270336	65769	65504	103686	10131	495616	450560	20480	0	0	
0	237568	0	0	0	0	270336	76527	76432	121011	12111	200704	487424	0	0	0	10485760	0	237568	0	0	0	0	270336	76527	76432	121011	12111	200704	487424	0	0	0	
0	983040	0	0	0	0	675840	86460	86227	136488	13893	475136	335872	0	0	0	10485760	0	983040	0	0	0	0	675840	86460	86227	136488	13893	475136	335872	0	0	0	
