cache	rss	rss_huge	shmem	mapped_file	dirty	writeback	pgpgin	pgpgout	pgfault	pgmajfault	inactive_anon	active_anon	inactive_file	active_file	unevictable	hierarchical_memory_limit	total_cache	total_rss	total_rss_huge	total_shmem	total_mapped_file	total_dirty	total_writeback	total_pgpgin	total_pgpgout	total_pgfault	total_pgmajfault	total_inactive_anon	total_active_anon	total_inactive_file	total_active_file	total_unevictable	
0	835584	0	0	0	0	135168	8151	7933	11055	132	819200	225280	20480	0	0	10485760	0	835584	0	0	0	0	135168	8151	7933	11055	132	819200	225280	20480	0	0	
0	274432	0	0	0	0	0	21450	21386	32406	2409	32768	241664	0	0	0	10485760	0	274432	0	0	0	0	0	21450	21386	32406	2409	32768	241664	0	0	0	
0	0	0	0	0	0	135168	35640	35656	55803	5280	81920	159744	0	0	0	10485760	0	0	0	0	0	0	135168	35640	35656	55803	5280	81920	159744	0	0	0	
0	270336	0	0	0	0	135168	47850	47825	75867	7722	36864	307200	0	0	0	10485760	0	270336	0	0	0	0	135168	47850	47825	75867	7722	36864	307200	0	0	0	
0	131072	0	0	0	0	405504	59169	59013	94578	10032	221184	278528	0	0	0	10485760	0	131072	0	0	0	0	405504	59169	59013	94578	10032	221184	278528	0	0	0	
135168	221184	0	0	0	0	270336	73425	73360	117480	12738	131072	172032	0	0	0	10485760	135168	221184	0	0	0	0	270336	73425	73360	117480	12738	131072	172032	0	0	0	
135168	315392	0	0	0	0	405504	87351	87209	140217	15642	208896	421888	20480	0	0	10485760	135168	315392	0	0	0	0	405504	87351	87209	140217	15642	208896	421888	20480	0	0	
135168	929792	0	0	0	0	946176	101145	100908	163614	18348	524288	499712	0	0	0	10485760	135168	929792	0	0	0	0	946176	101145	100908	163614	18348	524288	499712	0	0	0	
135168	1335296	0	0	0	0	675840	112332	112028	181764	20460	663552	991232	0	0	0	10485760	135168	1335296	0	0	0	0	675840	112332	112028	181764	20460	663552	991232	0	0	0	
135168	1400832	0	0	0	0	675840	125532	125210	203478	23067	196608	1114112	0	0	0	10485760	135168	1400832	0	0	0	0	675840	125532	125210	203478	23067	196608	1114112	0	0	0	
135168	348160	0	0	0	0	811008	135696	135567	219483	24915	315392	499712	20480	0	0	10485760	135168	348160	0	0	0	0	811008	135696	135567	219483	24915	315392	499712	20480	0	0	
135168	335872	0	0	0	0	675840	146553	146398	236808	26895	282624	405504	0	0	0	10485760	135168	335872	0	0	0	0	675840	146553	146398	236808	26895	282624	405504	0	0	0	
135168	880640	0	0	0	0	811008	157377	157161	253968	28941	815104	188416	0	0	0	10485760	135168	880640	0	0	0	0	811008	157377	157161	253968	28941	815104	188416	0	0	0	
270336	737280	0	0	0	0	675840	171435	171258	276573	31581	425984	385024	0	0	0	10485760	270336	737280	0	0	0	0	675840	171435	171258	276573	31581	425984	385024	0	0	0	
135168	507904	0	0	0	0	675840	184569	184425	297660	34122	356352	364544	0	0	0	10485760	135168	507904	0	0	0	0	675840	184569	184425	297660	34122	356352	364544	0	0	0	
