cache	rss	rss_huge	shmem	mapped_file	dirty	writeback	pgpgin	pgpgout	pgfault	pgmajfault	inactive_anon	active_anon	inactive_file	active_file	unevictable	hierarchical_memory_limit	total_cache	total_rss	total_rss_huge	total_shmem	total_mapped_file	total_dirty	total_writeback	total_pgpgin	total_pgpgout	total_pgfault	total_pgmajfault	total_inactive_anon	total_active_anon	total_inactive_file	total_active_file	total_unevictable	
0	1839104	0	0	0	0	0	9339	8955	11352	0	0	2043904	0	0	0	15728640	0	1839104	0	0	0	0	0	9339	8955	11352	0	0	2043904	0	0	0	
0	1769472	0	0	0	0	0	26994	26570	32274	0	0	2048000	0	0	0	15728640	0	1769472	0	0	0	0	0	26994	26570	32274	0	0	2048000	0	0	0	
0	1892352	0	0	0	0	0	44649	44217	53097	0	0	2002944	0	0	0	15728640	0	1892352	0	0	0	0	0	44649	44217	53097	0	0	2002944	0	0	0	
0	1732608	0	0	0	0	0	61776	61347	73359	0	0	2048000	0	0	0	15728640	0	1732608	0	0	0	0	0	61776	61347	73359	0	0	2048000	0	0	0	
0	1912832	0	0	0	0	0	79398	78958	94215	0	0	2035712	0	0	0	15728640	0	1912832	0	0	0	0	0	79398	78958	94215	0	0	2035712	0	0	0	
0	1871872	0	0	0	0	0	96525	96113	114510	0	0	2043904	0	0	0	15728640	0	1871872	0	0	0	0	0	96525	96113	114510	0	0	2043904	0	0	0	
0	1970176	0	0	0	0	0	114675	114240	135927	0	0	2043904	0	0	0	15728640	0	1970176	0	0	0	0	0	114675	114240	135927	0	0	2043904	0	0	0	
0	1953792	0	0	0	0	0	133287	132864	157971	0	0	2043904	0	0	0	15728640	0	1953792	0	0	0	0	0	133287	132864	157971	0	0	2043904	0	0	0	
0	2383872	0	0	0	0	0	151437	150820	179487	0	0	2682880	0	0	0	15728640	0	2383872	0	0	0	0	0	151437	150820	179487	0	0	2682880	0	0	0	
0	1789952	0	0	0	0	0	169092	168638	200277	0	0	1994752	0	0	0	15728640	0	1789952	0	0	0	0	0	169092	168638	200277	0	0	1994752	0	0	0	
0	1929216	0	0	0	0	0	187704	187284	222354	0	0	2043904	0	0	0	15728640	0	1929216	0	0	0	0	0	187704	187284	222354	0	0	2043904	0	0	0	
0	1970176	0	0	0	0	0	205359	204933	243243	0	0	2043904	0	0	0	15728640	0	1970176	0	0	0	0	0	205359	204933	243243	0	0	2043904	0	0	0	
0	1900544	0	0	0	0	0	223476	223063	264627	0	0	2039808	0	0	0	15728640	0	1900544	0	0	0	0	0	223476	223063	264627	0	0	2039808	0	0	0	
0	1908736	0	0	0	0	0	241098	240733	285549	0	0	2035712	0	0	0	15728640	0	1908736	0	0	0	0	0	241098	240733	285549	0	0	2035712	0	0	0	
0	1921024	0	0	0	0	0	260304	259828	308187	0	0	2043904	0	0	0	15728640	0	1921024	0	0	0	0	0	260304	259828	308187	0	0	2043904	0	0	0	
0	1957888	0	0	0	0	0	278388	277944	329670	0	0	2039808	0	0	0	15728640	0	1957888	0	0	0	0	0	278388	277944	329670	0	0	2039808	0	0	0	
0	2011136	0	0	0	0	0	296505	296083	351087	0	0	2039808	0	0	0	15728640	0	2011136	0	0	0	0	0	296505	296083	351087	0	0	2039808	0	0	0	
0	1892352	0	0	0	0	0	314622	314242	372570	0	0	2043904	0	0	0	15728640	0	1892352	0	0	0	0	0	314622	314242	372570	0	0	2043904	0	0	0	
0	823296	0	0	0	0	0	325314	325128	385308	0	0	917504	24576	0	0	15728640	0	823296	0	0	0	0	0	325314	325128	385308	0	0	917504	24576	0	0	
0	1744896	0	0	0	0	0	333729	333331	395439	0	0	1892352	24576	0	0	15728640	0	1744896	0	0	0	0	0	333729	333331	395439	0	0	1892352	24576	0	0	
0	1904640	0	0	0	0	0	351681	351235	416526	0	0	2080768	4096	0	0	15728640	0	1904640	0	0	0	0	0	351681	351235	416526	0	0	2080768	4096	0	0	
0	1998848	0	0	0	0	0	369369	368934	437382	0	0	2134016	4096	0	0	15728640	0	1998848	0	0	0	0	0	369369	368934	437382	0	0	2134016	4096	0	0	
0	1937408	0	0	0	0	0	387057	386622	458271	0	0	2125824	4096	0	0	15728640	0	1937408	0	0	0	0	0	387057	386622	458271	0	0	2125824	4096	0	0	
0	1900544	0	0	0	0	0	405273	404846	479688	0	0	2134016	4096	0	0	15728640	0	1900544	0	0	0	0	0	405273	404846	479688	0	0	2134016	4096	0	0	
0	2002944	0	0	0	0	0	423522	423073	501204	0	0	2129920	4096	0	0	15728640	0	2002944	0	0	0	0	0	423522	423073	501204	0	0	2129920	4096	0	0	
0	1929216	0	0	0	0	0	441243	440790	522027	0	0	2125824	4096	0	0	15728640	0	1929216	0	0	0	0	0	441243	440790	522027	0	0	2125824	4096	0	0	
0	2011136	0	0	0	0	0	458964	458495	542817	0	0	2129920	4096	0	0	15728640	0	2011136	0	0	0	0	0	458964	458495	542817	0	0	2129920	4096	0	0	
0	2043904	0	0	0	0	0	476685	476206	563706	0	0	2125824	4096	0	0	15728640	0	2043904	0	0	0	0	0	476685	476206	563706	0	0	2125824	4096	0	0	
0	1912832	0	0	0	0	0	494406	493918	584562	0	0	2072576	4096	0	0	15728640	0	1912832	0	0	0	0	0	494406	493918	584562	0	0	2072576	4096	0	0	
0	2125824	0	0	0	0	0	512589	512177	605946	0	0	2134016	4096	0	0	15728640	0	2125824	0	0	0	0	0	512589	512177	605946	0	0	2134016	4096	0	0	
0	2027520	0	0	0	0	0	530343	529849	626835	0	0	2134016	4096	0	0	15728640	0	2027520	0	0	0	0	0	530343	529849	626835	0	0	2134016	4096	0	0	
0	2011136	0	0	0	0	0	548559	548105	648285	0	0	2138112	4096	0	0	15728640	0	2011136	0	0	0	0	0	548559	548105	648285	0	0	2138112	4096	0	0	
0	1892352	0	0	0	0	0	567105	566642	670197	0	0	2129920	4096	0	0	15728640	0	1892352	0	0	0	0	0	567105	566642	670197	0	0	2129920	4096	0	0	
0	1978368	0	0	0	0	0	584991	584536	691284	0	0	2129920	4096	0	0	15728640	0	1978368	0	0	0	0	0	584991	584536	691284	0	0	2129920	4096	0	0	
0	2002944	0	0	0	0	0	602712	602285	712074	0	0	2138112	4096	0	0	15728640	0	2002944	0	0	0	0	0	602712	602285	712074	0	0	2138112	4096	0	0	
0	1974272	0	0	0	0	0	620400	619971	732963	0	0	2138112	4096	0	0	15728640	0	1974272	0	0	0	0	0	620400	619971	732963	0	0	2138112	4096	0	0	
0	1945600	0	0	0	0	0	637626	637183	753225	0	0	2134016	4096	0	0	15728640	0	1945600	0	0	0	0	0	637626	637183	753225	0	0	2134016	4096	0	0	
0	1835008	0	0	0	0	0	655314	654915	774048	0	0	2134016	4096	0	0	15728640	0	1835008	0	0	0	0	0	655314	654915	774048	0	0	2134016	4096	0	0	
