cache	rss	rss_huge	shmem	mapped_file	dirty	writeback	pgpgin	pgpgout	pgfault	pgmajfault	inactive_anon	active_anon	inactive_file	active_file	unevictable	hierarchical_memory_limit	total_cache	total_rss	total_rss_huge	total_shmem	total_mapped_file	total_dirty	total_writeback	total_pgpgin	total_pgpgout	total_pgfault	total_pgmajfault	total_inactive_anon	total_active_anon	total_inactive_file	total_active_file	total_unevictable	
0	1028096	0	0	0	0	0	2574	2381	3597	0	0	1204224	0	0	0	26214400	0	1028096	0	0	0	0	0	2574	2381	3597	0	0	1204224	0	0	0	
0	954368	0	0	0	0	0	8085	7848	10824	0	0	995328	20480	0	0	26214400	0	954368	0	0	0	0	0	8085	7848	10824	0	0	995328	20480	0	0	
0	806912	0	0	0	0	0	14289	14130	18942	0	0	905216	20480	0	0	26214400	0	806912	0	0	0	0	0	14289	14130	18942	0	0	905216	20480	0	0	
0	1044480	0	0	0	0	0	20889	20635	27423	0	0	1167360	0	0	0	26214400	0	1044480	0	0	0	0	0	20889	20635	27423	0	0	1167360	0	0	0	
0	1720320	0	0	0	0	0	26235	25861	34518	0	0	1937408	0	0	0	26214400	0	1720320	0	0	0	0	0	26235	25861	34518	0	0	1937408	0	0	0	
0	1105920	0	0	0	0	0	30558	30302	40161	0	0	991232	20480	0	0	26214400	0	1105920	0	0	0	0	0	30558	30302	40161	0	0	991232	20480	0	0	
0	1683456	0	0	0	0	0	36762	36291	48180	0	0	1900544	0	0	0	26214400	0	1683456	0	0	0	0	0	36762	36291	48180	0	0	1900544	0	0	0	
0	942080	0	0	0	0	0	41283	41144	54252	0	0	991232	20480	0	0	26214400	0	942080	0	0	0	0	0	41283	41144	54252	0	0	991232	20480	0	0	
0	1662976	0	0	0	0	0	45408	45054	59499	0	0	1929216	0	0	0	26214400	0	1662976	0	0	0	0	0	45408	45054	59499	0	0	1929216	0	0	0	
0	897024	0	0	0	0	0	50556	50323	66132	0	0	1200128	0	0	0	26214400	0	897024	0	0	0	0	0	50556	50323	66132	0	0	1200128	0	0	0	
0	1146880	0	0	0	0	0	54120	53931	70851	0	0	1204224	0	0	0	26214400	0	1146880	0	0	0	0	0	54120	53931	70851	0	0	1204224	0	0	0	
0	1658880	0	0	0	0	0	58938	58515	77154	0	0	1916928	0	0	0	26214400	0	1658880	0	0	0	0	0	58938	58515	77154	0	0	1916928	0	0	0	
0	851968	0	0	0	0	0	64416	64200	84249	0	0	987136	20480	0	0	26214400	0	851968	0	0	0	0	0	64416	64200	84249	0	0	987136	20480	0	0	
0	1064960	0	0	0	0	0	69168	68876	90387	0	0	1200128	0	0	0	26214400	0	1064960	0	0	0	0	0	69168	68876	90387	0	0	1200128	0	0	0	
0	970752	0	0	0	0	0	74217	74032	97020	0	0	1196032	0	0	0	26214400	0	970752	0	0	0	0	0	74217	74032	97020	0	0	1196032	0	0	0	
0	1048576	0	0	0	0	0	80586	80415	105468	0	0	1007616	20480	0	0	26214400	0	1048576	0	0	0	0	0	80586	80415	105468	0	0	1007616	20480	0	0	
0	1085440	0	0	0	0	0	86229	86021	112629	0	0	1191936	0	0	0	26214400	0	1085440	0	0	0	0	0	86229	86021	112629	0	0	1191936	0	0	0	
0	1695744	0	0	0	0	0	91278	90894	119295	0	0	1855488	0	0	0	26214400	0	1695744	0	0	0	0	0	91278	90894	119295	0	0	1855488	0	0	0	
0	1187840	0	0	0	0	0	95403	95083	124740	0	0	1605632	0	0	0	26214400	0	1187840	0	0	0	0	0	95403	95083	124740	0	0	1605632	0	0	0	
0	1007616	0	0	0	0	0	101013	100737	132000	0	0	991232	20480	0	0	26214400	0	1007616	0	0	0	0	0	101013	100737	132000	0	0	991232	20480	0	0	
0	958464	0	0	0	0	0	106590	106379	139260	0	0	1163264	0	0	0	26214400	0	958464	0	0	0	0	0	106590	106379	139260	0	0	1163264	0	0	0	
0	1069056	0	0	0	0	0	111144	110865	145101	0	0	1167360	20480	0	0	26214400	0	1069056	0	0	0	0	0	111144	110865	145101	0	0	1167360	20480	0	0	
