cache	rss	rss_huge	shmem	mapped_file	dirty	writeback	pgpgin	pgpgout	pgfault	pgmajfault	inactive_anon	active_anon	inactive_file	active_file	unevictable	hierarchical_memory_limit	total_cache	total_rss	total_rss_huge	total_shmem	total_mapped_file	total_dirty	total_writeback	total_pgpgin	total_pgpgout	total_pgfault	total_pgmajfault	total_inactive_anon	total_active_anon	total_inactive_file	total_active_file	total_unevictable	
0	1687552	0	0	0	0	0	2079	1690	2838	0	0	1990656	0	0	0	20971520	0	1687552	0	0	0	0	0	2079	1690	2838	0	0	1990656	0	0	0	
0	2596864	0	0	0	0	0	5808	5214	7227	0	0	2772992	20480	0	0	20971520	0	2596864	0	0	0	0	0	5808	5214	7227	0	0	2772992	20480	0	0	
0	2494464	0	0	0	0	0	8811	8245	10758	0	0	2711552	0	0	0	20971520	0	2494464	0	0	0	0	0	8811	8245	10758	0	0	2711552	0	0	0	
0	1867776	0	0	0	0	0	12144	11764	14718	0	0	1994752	0	0	0	20971520	0	1867776	0	0	0	0	0	12144	11764	14718	0	0	1994752	0	0	0	
0	1564672	0	0	0	0	0	16170	15824	19437	0	0	1720320	20480	0	0	20971520	0	1564672	0	0	0	0	0	16170	15824	19437	0	0	1720320	20480	0	0	
0	1884160	0	0	0	0	0	19503	19035	23265	0	0	2043904	20480	0	0	20971520	0	1884160	0	0	0	0	0	19503	19035	23265	0	0	2043904	20480	0	0	
0	2404352	0	0	0	0	0	23001	22369	27423	0	0	2768896	0	0	0	20971520	0	2404352	0	0	0	0	0	23001	22369	27423	0	0	2768896	0	0	0	
0	675840	0	0	0	0	0	26004	25906	31020	0	0	835584	20480	0	0	20971520	0	675840	0	0	0	0	0	26004	25906	31020	0	0	835584	20480	0	0	
0	2547712	0	0	0	0	0	29535	28891	35112	0	0	2772992	0	0	0	20971520	0	2547712	0	0	0	0	0	29535	28891	35112	0	0	2772992	0	0	0	
0	2416640	0	0	0	0	0	32538	31947	38676	0	0	2772992	0	0	0	20971520	0	2416640	0	0	0	0	0	32538	31947	38676	0	0	2772992	0	0	0	
0	1761280	0	0	0	0	0	35376	34989	42042	0	0	1933312	0	0	0	20971520	0	1761280	0	0	0	0	0	35376	34989	42042	0	0	1933312	0	0	0	
